label	query	variantType	route	data	source
"S:E484K"	"&mutations=S:E484K"	"Mutation of Concern"	{"muts":["S:E484K"],"loc":["NZL"],"selected":"NZL"}	[]	
"B.1.1.7"	"pangolin_lineage=B.1.1.7"	"Variant of Concern"	{"pango":"B.1.1.7","loc":[],"selected":"NZL"}	[]	
"B.1.351"	"pangolin_lineage=B.1.351"	"Variant of Concern"	{"pango":"B.1.351","selected":"NZL","loc":[]}	[]	
"B.1.617.2"	"pangolin_lineage=B.1.617.2"	"Variant of Concern"	{"pango":"B.1.617.2","loc":[],"selected":"NZL"}	[]	
"P.1"	"pangolin_lineage=P.1"	"Variant of Concern"	{"pango":"P.1","selected":"NZL","loc":[]}	[]	
"B.1.427"	"pangolin_lineage=B.1.427"	"Variant of Interest"	{"pango":"B.1.427","loc":[],"selected":"NZL"}	[]	
"B.1.429"	"pangolin_lineage=B.1.429"	"Variant of Interest"	{"pango":"B.1.429","loc":[],"selected":"NZL"}	[]	
"B.1.526"	"pangolin_lineage=B.1.526"	"Variant of Interest"	{"pango":"B.1.526","loc":[],"selected":"NZL"}	[]	
"B.1.526.1"	"pangolin_lineage=B.1.526.1"	"Variant of Interest"	{"pango":"B.1.526.1","loc":[],"selected":"NZL"}	[]	
"B.1.526.2"	"pangolin_lineage=B.1.526.2"	"Variant of Interest"	{"pango":"B.1.526.2","loc":[],"selected":"NZL"}	[]	
"B.1.617"	"pangolin_lineage=B.1.617"	"Variant of Interest"	{"pango":"B.1.617","loc":[],"selected":"NZL"}	[]	
"B.1.617.1"	"pangolin_lineage=B.1.617.1"	"Variant of Interest"	{"pango":"B.1.617.1","loc":[],"selected":"NZL"}	[]	
"B.1.617.3"	"pangolin_lineage=B.1.617.3"	"Variant of Interest"	{"pango":"B.1.617.3","loc":[],"selected":"NZL"}	[]	
